googlevideo.com,172.217.15.100
r4.sn-nx5e6n76.googlevideo.com,173.194.152.42
r6.sn-aigl6n76.googlevideo.com,173.194.5.204
r3.sn-npoe7n76.googlevideo.com,173.194.22.217
r3.sn-nx57yn76.googlevideo.com,173.194.56.72
r4.sn-nx5e6ne6.googlevideo.com,173.194.152.106
r5.sn-nx5e6ne6.googlevideo.com,173.194.152.107
r3.sn-i3belne6.googlevideo.com,173.194.4.168
r6.sn-4g5e6nl6.googlevideo.com,74.125.104.76
r1.sn-n5pbvoj5caxu8-nbo6.googlevideo.com,112.197.12.76
r2.sn-n5pbvoj5caxu8-nbo6.googlevideo.com,112.197.12.77
r4.sn-n5pbvoj5caxu8-nbo6.googlevideo.com,112.197.12.79
r3.sn-8pxuuxa-q5q6.googlevideo.com,203.113.161.142
r1.sn-4g5edns6.googlevideo.com,173.194.188.166
r5.sn-4g5edns6.googlevideo.com,173.194.188.170
r2.sn-oguesnz6.googlevideo.com,74.125.171.248
r5.sn-oguesnz6.googlevideo.com,74.125.171.251
r2.sn-p5qlsnz6.googlevideo.com,173.194.7.104
r3.sn-p5qlsnz6.googlevideo.com,173.194.7.105
r9.sn-4gxx-25ge7.googlevideo.com,64.15.119.92
r5.sn-npoe7ne7.googlevideo.com,173.194.59.10
r1.sn-4g5edne7.googlevideo.com,74.125.11.7
r4.sn-4g5edne7.googlevideo.com,74.125.11.10
r3.sn-4g5e6nl7.googlevideo.com,173.194.164.121
r5.sn-4g5e6ns7.googlevideo.com,173.194.182.74
r5.sn-25ge7ns7.googlevideo.com,209.85.230.251
r6.sn-hp57kns7.googlevideo.com,173.194.17.108
r1.sn-4g5e6nz7.googlevideo.com,173.194.187.166
r1.sn-4g5ednz7.googlevideo.com,74.125.173.230
r3.sn-cxaaj5o5q5-tt1d.googlevideo.com,184.150.153.206
r3.sn-nx5e6n7d.googlevideo.com,173.194.152.57
r6.sn-nx5e6n7d.googlevideo.com,173.194.152.60
r3.sn-ab5szn7d.googlevideo.com,173.194.31.105
r2.sn-jpm-15bd.googlevideo.com,208.117.229.237
r3.sn-jpm-15bd.googlevideo.com,208.117.229.238
r7.sn-xuc-cvbd.googlevideo.com,186.31.119.146
r8.sn-h5bt5guxax3vh-c0qd.googlevideo.com,145.236.72.83
r5.sn-5hne6n7e.googlevideo.com,74.125.8.11
r3.sn-4g5edn7e.googlevideo.com,173.194.151.201
r4.sn-5hnedn7e.googlevideo.com,74.125.100.138
r5.sn-ab5szn7e.googlevideo.com,74.125.172.27
r3.sn-xuxjn5-i58e.googlevideo.com,190.92.112.14
r2.sn-8vq54voxpu-ca9e.googlevideo.com,83.224.68.145
r1.sn-ucj-gh9e.googlevideo.com,123.241.255.108
r8.sn-j5aa2a0n-53ae.googlevideo.com,119.224.142.19
r2.sn-ja5gv-bpbe.googlevideo.com,200.169.124.13
r2.sn-jv2xauxaxjvh-jfce.googlevideo.com,200.195.190.77
r4.sn-h5q7dnee.googlevideo.com,74.125.4.10
r1.sn-4g5ednee.googlevideo.com,74.125.11.23
r8.sn-ipoxu-3iie.googlevideo.com,61.219.131.83
r1.sn-vojacq-q5je.googlevideo.com,103.77.253.12
r4.sn-h5obv-q5je.googlevideo.com,114.130.6.15
r2.sn-4g5e6nle.googlevideo.com,173.194.164.136
r5.sn-4g5e6nle.googlevideo.com,173.194.164.139
r6.sn-4g5e6nle.googlevideo.com,173.194.164.140
r20.sn-nx57ynle.googlevideo.com,74.125.5.217
r4.sn-bvvbax-2ime.googlevideo.com,104.237.160.23
r5.sn-p0n5jxaa-hxme.googlevideo.com,187.189.129.80
r1.sn-8xgp1vo-cvne.googlevideo.com,63.117.215.12
r2.sn-oxuo5h-nboe.googlevideo.com,101.53.58.13
r3.sn-oxuo5h-nboe.googlevideo.com,101.53.58.14
r2.sn-jxnj5-cjoe.googlevideo.com,91.213.30.141
r2.sn-5hne6nse.googlevideo.com,74.125.8.210
r15.sn-5hne6nse.googlevideo.com,74.125.8.223
r5.sn-25ge7nse.googlevideo.com,74.125.105.75
r5.sn-4g5ednse.googlevideo.com,173.194.188.42
r2.sn-4pvgq-n8ve.googlevideo.com,93.191.15.77
r2.sn-ug5on-unxe.googlevideo.com,91.185.2.205
r2.sn-oxmua5txg-8pxe.googlevideo.com,213.208.156.205
r1.sn-oguesnze.googlevideo.com,74.125.106.135
r4.sn-oguesnze.googlevideo.com,74.125.106.138
r2.sn-uvu-c33k.googlevideo.com,203.113.53.13
r3.sn-4g5e6n7k.googlevideo.com,173.194.151.169
r5.sn-5hnekn7k.googlevideo.com,209.85.226.74
r5.sn-q4f7sn7k.googlevideo.com,173.194.141.235
r6.sn-nx57yn7k.googlevideo.com,173.194.56.139
r7.sn-n3cgv5qc5oq-bh2ek.googlevideo.com,1.255.33.18
r2.sn-aigl6nek.googlevideo.com,173.194.183.103
r5.sn-4g5e6nlk.googlevideo.com,74.125.173.43
r4.sn-5hne6nlk.googlevideo.com,74.125.8.170
r2.sn-5hnednlk.googlevideo.com,74.125.8.136
r3.sn-5hne6nsk.googlevideo.com,172.217.132.40
r4.sn-25ge7nsk.googlevideo.com,173.194.190.169
r2.sn-0ub03g5pox-3c2l.googlevideo.com,176.122.113.13
r1.sn-q4fl6n7l.googlevideo.com,74.125.3.39
r4.sn-4g5edn7l.googlevideo.com,173.194.151.218
r5.sn-4g5edn7l.googlevideo.com,173.194.151.219
r1.sn-25glen7l.googlevideo.com,209.85.230.167
r3.sn-hp57kn7l.googlevideo.com,209.85.231.25
r4.sn-ntq7yn7l.googlevideo.com,173.194.28.138
r7.sn-hxb54vo-gv8l.googlevideo.com,37.29.1.146
r1.sn-ppoxu-hxal.googlevideo.com,150.101.213.140
r2.sn-n02xgoxufvg3-2gbl.googlevideo.com,95.168.222.77
r3.sn-x5guiuxaxjvh-q5jl.googlevideo.com,182.48.85.206
r4.sn-a5meknll.googlevideo.com,74.125.170.106
r12.sn-nx57ynll.googlevideo.com,74.125.5.241
r7.sn-nx57ynll.googlevideo.com,74.125.5.236
r7.sn-8qj-i5oll.googlevideo.com,113.171.244.82
r6.sn-qxau5-btql.googlevideo.com,94.20.252.17
r1.sn-4g5ednsl.googlevideo.com,173.194.188.70
r2.sn-5axnug5-hutl.googlevideo.com,201.163.253.237
r1.sn-ug5on-unxl.googlevideo.com,178.22.168.236
r3.sn-oxmua5txg-8pxl.googlevideo.com,217.175.200.78
r4.sn-oxmua5txg-8pxl.googlevideo.com,217.175.200.79
r1.sn-4g5e6n7r.googlevideo.com,173.194.151.183
r6.sn-aigs6n7r.googlevideo.com,209.85.230.220
r5.sn-npoeen7r.googlevideo.com,209.85.229.251
r5.sn-25glen7r.googlevideo.com,74.125.105.91
r3.sn-q4f7sn7r.googlevideo.com,173.194.141.249
r2.sn-5hne6nlr.googlevideo.com,74.125.8.184
r6.sn-5hne6nlr.googlevideo.com,74.125.8.188
r2.sn-5hnednlr.googlevideo.com,74.125.8.152
redirector.googlevideo.com,172.217.0.46
r2.sn-gvnuxaxjvh-c35s.googlevideo.com,77.37.252.13
r6.sn-buu-hp5s.googlevideo.com,208.65.155.81
r14.sn-woc7en7s.googlevideo.com,173.194.128.19
r3.sn-5hnekn7s.googlevideo.com,74.125.100.40
r3.sn-a5mlrn7s.googlevideo.com,74.125.170.25
r5.sn-aigzrn7s.googlevideo.com,173.194.129.202
r3.sn-5go7yn7s.googlevideo.com,173.194.19.169
r4.sn-ntq7yn7s.googlevideo.com,173.194.28.154
r2.sn-n02xgoxufvg3-2gbs.googlevideo.com,95.168.222.141
r2.sn-8p8v-bg0es.googlevideo.com,201.0.238.77
r5.sn-n3cgv5qc5oq-bh2es.googlevideo.com,58.123.220.16
r4.sn-4g5e6nes.googlevideo.com,173.194.151.74
r5.sn-4g5e6nes.googlevideo.com,173.194.151.75
r2.sn-nx5e6nes.googlevideo.com,173.194.152.72
r6.sn-nx5e6nes.googlevideo.com,173.194.152.76
r1.sn-25glenes.googlevideo.com,173.194.190.70
r4.sn-25ge7nls.googlevideo.com,74.125.105.106
r6.sn-4g5ednls.googlevideo.com,173.194.163.76
r1.sn-n5pbvoj5caxu8-nbos.googlevideo.com,112.197.10.76
r5.sn-n5pbvoj5caxu8-nbos.googlevideo.com,112.197.10.80
r7.sn-n5pbvoj5caxu8-nbos.googlevideo.com,112.197.10.82
r8.sn-n5pbvoj5caxu8-nbos.googlevideo.com,112.197.10.83
r4.sn-w511uxa-cjos.googlevideo.com,212.106.207.207
r6.sn-qxau5-btqs.googlevideo.com,62.212.252.81
r8.sn-ug5onuxaxjvh-n8vs.googlevideo.com,188.43.61.19
manifest.googlevideo.com,216.58.195.78
r1.sn-4g5edn7y.googlevideo.com,173.194.151.119
r4.sn-4g5edn7y.googlevideo.com,173.194.151.122
r1.sn-aigl6ney.googlevideo.com,173.194.183.166
r1.sn-vgqs7ney.googlevideo.com,173.194.54.231
r3.sn-vgqs7ney.googlevideo.com,173.194.54.233
r6.sn-bg07dney.googlevideo.com,173.194.27.172
r1.sn-4g5edney.googlevideo.com,173.194.165.167
r3.sn-vgqseney.googlevideo.com,173.194.55.41
r1.sn-a5mekney.googlevideo.com,173.194.12.7
r14.sn-nx57yney.googlevideo.com,74.125.5.147
r2.sn-4g5ednly.googlevideo.com,173.194.187.231
r5.sn-4g5e6nsy.googlevideo.com,173.194.187.138
r2.sn-3pom-bh2z.googlevideo.com,121.78.206.77
r1.sn-p5qs7n7z.googlevideo.com,74.125.155.199
r3.sn-p5qs7n7z.googlevideo.com,74.125.155.201
r2.sn-4g5edn7z.googlevideo.com,173.194.151.248
r3.sn-4g5edn7z.googlevideo.com,173.194.151.249
r4.sn-nv47ln7z.googlevideo.com,74.125.154.106
r3.sn-nx57yn7z.googlevideo.com,173.194.56.40
r5.sn-ntq7yn7z.googlevideo.com,173.194.28.203
r6.sn-ntq7yn7z.googlevideo.com,173.194.28.204
r4.sn-n02xgoxufvg3-2gbz.googlevideo.com,95.168.222.15
r5.sn-n02xgoxufvg3-2gbz.googlevideo.com,95.168.222.16
r7.sn-n02xgoxufvg3-2gbz.googlevideo.com,95.168.222.18
r6.sn-nx5e6nez.googlevideo.com,173.194.152.92
r4.sn-npoe7nez.googlevideo.com,74.125.164.73
r1.sn-npoeenez.googlevideo.com,173.194.22.38
r2.sn-n5pbvoj5caxu8-nboz.googlevideo.com,112.197.8.77
r5.sn-n5pbvoj5caxu8-nboz.googlevideo.com,112.197.8.80
r7.sn-n5pbvoj5caxu8-nboz.googlevideo.com,112.197.8.82
r4.sn-qxau5-btqz.googlevideo.com,94.20.252.79
r8.sn-qxau5-btqz.googlevideo.com,94.20.252.83
r3.sn-5hne6nsz.googlevideo.com,74.125.100.72
r3.sn-4g5ednsz.googlevideo.com,173.194.188.136
r5.sn-oguesnzz.googlevideo.com,74.125.171.235
r6---sn-4g5ednle.googlevideo.com,74.125.104.92
